timestamp,volume,open,high,low,close,symbol
2023-06-06 04:00:00+00:00,21.0,1.07161,1.07164,1.07161,1.07164,EUR_USD
2023-06-06 04:01:00+00:00,11.0,1.07164,1.07169,1.07164,1.07165,EUR_USD
2023-06-06 04:02:00+00:00,36.0,1.07165,1.07169,1.0716,1.0716,EUR_USD
2023-06-06 04:03:00+00:00,43.0,1.07165,1.07166,1.07156,1.0716,EUR_USD
2023-06-06 04:04:00+00:00,21.0,1.07161,1.07161,1.07154,1.07154,EUR_USD
2023-06-06 04:05:00+00:00,22.0,1.07152,1.07155,1.07151,1.07155,EUR_USD
2023-06-06 04:06:00+00:00,21.0,1.07156,1.07164,1.07154,1.07162,EUR_USD
2023-06-06 04:07:00+00:00,23.0,1.07162,1.07166,1.07161,1.07164,EUR_USD
2023-06-06 04:08:00+00:00,14.0,1.07165,1.07166,1.07162,1.07165,EUR_USD
2023-06-06 04:09:00+00:00,27.0,1.07166,1.07167,1.07162,1.07162,EUR_USD
2023-06-06 04:10:00+00:00,26.0,1.07162,1.07164,1.07162,1.07163,EUR_USD
2023-06-06 04:11:00+00:00,22.0,1.07162,1.07166,1.07162,1.07164,EUR_USD
2023-06-06 04:12:00+00:00,37.0,1.07164,1.07201,1.07164,1.072,EUR_USD
2023-06-06 04:13:00+00:00,31.0,1.07206,1.07211,1.07199,1.07199,EUR_USD
2023-06-06 04:14:00+00:00,42.0,1.07197,1.07197,1.0719,1.07194,EUR_USD
2023-06-06 04:15:00+00:00,38.0,1.07194,1.07194,1.07182,1.07182,EUR_USD
2023-06-06 04:16:00+00:00,26.0,1.07182,1.07182,1.07178,1.0718,EUR_USD
2023-06-06 04:17:00+00:00,22.0,1.07184,1.07186,1.07182,1.07184,EUR_USD
2023-06-06 04:18:00+00:00,10.0,1.07184,1.07184,1.07182,1.07182,EUR_USD
2023-06-06 04:19:00+00:00,23.0,1.07183,1.07183,1.07172,1.07174,EUR_USD
2023-06-06 04:20:00+00:00,20.0,1.07175,1.0718,1.07175,1.0718,EUR_USD
2023-06-06 04:21:00+00:00,10.0,1.07182,1.07182,1.07179,1.0718,EUR_USD
2023-06-06 04:22:00+00:00,6.0,1.07182,1.07186,1.07182,1.07185,EUR_USD
2023-06-06 04:23:00+00:00,22.0,1.07186,1.0719,1.07184,1.07189,EUR_USD
2023-06-06 04:24:00+00:00,45.0,1.0719,1.07192,1.07188,1.07189,EUR_USD
